id,year,sex,age,mass,survival,reproduction,fitness,StMass,mother
CN06-165,2006,Male,J,18,0,0,0,-1.25005248636354,CN06-071
CN06-166,2006,Female,J,19,0,0,0,-1.15370464253721,CN06-076
CN06-167,2006,Female,J,28,0,0,0,-0.28657404810018,CN06-071
CN06-168,2006,Female,J,19,0,0,0,-1.15370464253721,CN06-077
CN06-169,2006,Male,J,22,1,0,2,-0.864661111058199,CN06-071
CN06-169,2007,Male,A,41,0,8,8,0.965947921642194,CN06-071
CN06-170,2006,Female,J,29,0,0,0,-0.190226204273843,CN06-077
CN06-171,2006,Female,J,20,0,0,0,-1.05735679871087,CN06-104
CN06-172,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-050
CN06-173,2006,Female,J,22,0,0,0,-0.864661111058199,CN06-104
CN06-174,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-076
CN06-175,2006,Female,J,35,0,0,0,0.387860858684175,CN06-094
CN06-176,2006,Male,J,30,0,0,0,-0.093878360447507,CN06-077
CN06-177,2006,Male,J,17,0,0,0,-1.34640033018988,CN06-108
CN06-178,2006,Female,J,26,0,0,0,-0.479269735752853,CN06-051
CN06-179,2006,Male,J,24,1,0,2,-0.671965423405526,CN06-051
CN06-179,2007,Male,A,46,0,12,12,1.44768714077388,CN06-051
CN06-180,2006,Female,J,24,1,0,2,-0.671965423405526,CN06-094
CN06-180,2007,Female,A,39,0,2,2,0.773252233989521,CN06-094
CN06-181,2006,Male,J,25,0,0,0,-0.575617579579189,CN06-083
CN06-182,2006,Female,J,25,1,0,2,-0.575617579579189,CN06-081
CN06-182,2007,Female,A,30,0,6,6,-0.093878360447507,CN06-081
CN06-183,2006,Female,J,26,0,0,0,-0.479269735752853,CN06-081
CN06-184,2006,Female,J,28,1,0,2,-0.28657404810018,CN06-050
CN06-184,2007,Female,A,38,0,1,1,0.676904390163184,CN06-050
CN06-185,2006,Female,A,38,0,2,2,0.676904390163184,NA
CN06-186,2006,Female,J,26,0,0,0,-0.479269735752853,CN06-094
CN06-187,2006,Female,J,22,1,0,2,-0.864661111058199,CN06-051
CN06-187,2007,Female,A,41,1,3,5,0.965947921642194,CN06-051
CN06-187,2008,Female,A,37,0,2,2,0.580556546336848,CN06-051
CN06-188,2006,Female,J,27,1,0,2,-0.382921891926516,CN06-185
CN06-188,2007,Female,A,43,0,1,1,1.15864360929487,CN06-185
CN06-189,2006,Male,J,26,0,0,0,-0.479269735752853,CN06-084
CN06-190,2006,Female,J,28,0,0,0,-0.28657404810018,CN06-081
CN06-191,2006,Male,J,17,0,0,0,-1.34640033018988,CN06-081
CN06-192,2006,Female,J,24,0,0,0,-0.671965423405526,CN06-185
CN06-193,2006,Male,J,NA,0,0,0,NA,CN06-053
CN06-194,2006,Male,A,37,0,0,0,0.580556546336848,CN06-007
CN06-195,2006,Male,J,22,0,0,0,-0.864661111058199,CN06-126
CN06-196,2006,Male,J,25,0,0,0,-0.575617579579189,CN06-012
CN06-197,2006,Female,J,21,0,0,0,-0.961008954884535,CN06-024
CN06-198,2006,Female,J,27,1,0,2,-0.382921891926516,CN06-011
CN06-198,2007,Female,A,40,0,2,2,0.869600077815857,CN06-011
CN06-200,2006,Female,J,25,1,0,2,-0.575617579579189,CN06-088
CN06-200,2007,Female,A,33,0,0,0,0.195165171031502,CN06-088
CN06-201,2006,Male,J,23,1,0,2,-0.768313267231862,CN06-088
CN06-201,2007,Male,A,40,0,0,0,0.869600077815857,CN06-088
CN06-203,2006,Male,J,29,0,0,0,-0.190226204273843,CN06-150
CN06-205,2006,Female,A,43,0,2,2,1.15864360929487,NA
CN06-206,2006,Male,J,29,0,0,0,-0.190226204273843,CN06-014
CN06-207,2006,Male,J,30,0,0,0,-0.093878360447507,CN06-150
CN06-208,2006,Male,J,23,0,0,0,-0.768313267231862,CN06-108
CN06-209,2006,Male,J,25,0,0,0,-0.575617579579189,CN06-034
CN06-210,2006,Male,J,24,0,0,0,-0.671965423405526,CN06-044
CN06-211,2006,Male,J,26,0,0,0,-0.479269735752853,CN06-050
CN06-213,2006,Male,J,15,0,0,0,-1.53909601784255,CN06-108
CN06-214,2006,Female,J,28,1,0,2,-0.28657404810018,CN06-053
CN06-214,2007,Female,A,32,0,2,2,0.0988173272051659,CN06-053
CN06-215,2006,Male,J,24,1,0,2,-0.671965423405526,CN06-050
CN06-215,2007,Male,A,52,0,5,5,2.02577420373189,CN06-050
CN06-221,2006,Male,J,NA,0,0,0,NA,CN06-081
CN06-222,2006,Female,J,29,1,0,2,-0.190226204273843,CN06-084
CN06-222,2007,Female,A,36,0,3,3,0.484208702510512,CN06-084
CN07-001,2007,Male,A,48,0,2,2,1.64038282842655,NA
CN07-002,2007,Male,A,44,0,4,4,1.2549914531212,CN06-F5
CN07-004,2007,Female,A,34,1,4,6,0.291513014857839,CN06-205
CN07-004,2008,Female,A,36,0,3,3,0.484208702510512,CN06-205
CN07-005,2007,Male,A,34,0,0,0,0.291513014857839,CN06-205
CN07-006,2007,Male,A,43,1,0,2,1.15864360929487,NA
CN07-006,2008,Male,A,44,0,0,0,1.2549914531212,NA
CN07-007,2007,Female,A,33,0,4,4,0.195165171031502,CN06-021
CN07-008,2007,Male,J,16,0,0,0,-1.44274817401622,CN06-025
CN07-009,2007,Male,J,17,0,0,0,-1.34640033018988,CN07-110
CN07-010,2007,Female,J,16,0,0,0,-1.44274817401622,CN06-025
CN07-012,2007,Male,A,49,0,9,9,1.73673067225289,NA
CN07-013,2007,Male,A,53,0,6,6,2.12212204755823,NA
CN07-014,2007,Male,A,42,0,8,8,1.06229576546853,NA
CN07-015,2007,Male,J,25,0,0,0,-0.575617579579189,CN06-164
CN07-016,2007,Male,J,21,0,0,0,-0.961008954884535,CN06-214
CN07-017,2007,Male,J,17,0,0,0,-1.34640033018988,CN06-214
CN07-018,2007,Male,A,41,0,3,3,0.965947921642194,CN06-052
CN07-019,2007,Female,J,16,0,0,0,-1.44274817401622,CN06-175
CN07-020,2007,Male,J,17,0,0,0,-1.34640033018988,CN06-175
CN07-021,2007,Female,A,43,0,0,0,1.15864360929487,CN06-084
CN07-022,2007,Female,A,39,0,0,0,0.773252233989521,CN06-056
CN07-023,2007,Male,A,43,0,0,0,1.15864360929487,CN06-094
CN07-024,2007,Female,A,38,0,3,3,0.676904390163184,CN06-040
CN07-025,2007,Female,A,36,0,0,0,0.484208702510512,CN06-F5
CN07-026,2007,Female,J,23,1,2,4,-0.768313267231862,CN06-119
CN07-026,2008,Female,A,38,0,3,3,0.676904390163184,CN06-119
CN07-027,2007,Female,J,17,0,0,0,-1.34640033018988,CN07-F1
CN07-028,2007,Female,J,21,0,0,0,-0.961008954884535,CN06-119
CN07-029,2007,Female,J,21,0,0,0,-0.961008954884535,NA
CN07-030,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-171
CN07-031,2007,Female,A,37,0,2,2,0.580556546336848,CN06-081
CN07-032,2007,Female,J,13,0,0,0,-1.73179170549523,CN07-F3
CN07-033,2007,Male,A,53,0,2,2,2.12212204755823,NA
CN07-035,2007,Female,J,23,0,0,0,-0.768313267231862,CN06-192
CN07-036,2007,Female,J,13,1,0,2,-1.73179170549523,CN06-110
CN07-036,2008,Female,A,37,1,5,7,0.580556546336848,CN06-110
CN07-036,2009,Female,A,47,0,8,8,1.54403498460021,CN06-110
CN07-037,2007,Female,J,17,0,0,0,-1.34640033018988,CN06-050
CN07-038,2007,Male,J,17,0,0,0,-1.34640033018988,CN06-182
CN07-039,2007,Female,J,22,0,0,0,-0.864661111058199,CN06-050
CN07-040,2007,Female,J,15,0,0,0,-1.53909601784255,CN06-182
CN07-041,2007,Male,J,19,0,0,0,-1.15370464253721,CN06-104
CN07-043,2007,Female,A,40,0,1,1,0.869600077815857,CN06-044
CN07-044,2007,Female,J,20,0,0,0,-1.05735679871087,CN06-116
CN07-046,2007,Female,A,44,0,3,3,1.2549914531212,CN06-025
CN07-047,2007,Female,J,28,0,1,1,-0.28657404810018,CN07-110
CN07-048,2007,Female,J,26,0,0,0,-0.479269735752853,CN06-089
CN07-050,2007,Male,J,21,1,0,2,-0.961008954884535,CN06-157
CN07-050,2008,Male,A,44,0,4,4,1.2549914531212,CN06-157
CN07-051,2007,Female,J,18,1,0,2,-1.25005248636354,CN07-024
CN07-051,2008,Female,A,38,0,0,0,0.676904390163184,CN07-024
CN07-052,2007,Male,J,18,0,0,0,-1.25005248636354,CN07-004
CN07-053,2007,Male,J,17,0,0,0,-1.34640033018988,CN07-004
CN07-054,2007,Male,A,47,0,4,4,1.54403498460021,NA
CN07-055,2007,Male,J,31,0,0,0,0.00246948337882945,NA
CN07-057,2007,Female,J,21,1,0,2,-0.961008954884535,CN07-046
CN07-057,2008,Female,A,43,0,0,0,1.15864360929487,CN07-046
CN07-059,2007,Male,A,41,0,0,0,0.965947921642194,NA
CN07-060,2007,Female,J,26,0,0,0,-0.479269735752853,CN06-109
CN07-062,2007,Female,J,29,0,0,0,-0.190226204273843,CN06-154
CN07-065,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-192
CN07-067,2007,Female,J,19,0,0,0,-1.15370464253721,CN06-187
CN07-068,2007,Female,J,18,0,0,0,-1.25005248636354,CN06-222
CN07-069,2007,Male,J,18,0,0,0,-1.25005248636354,CN07-F3
CN07-071,2007,Male,J,36,0,0,0,0.484208702510512,CN06-147
CN07-072,2007,Male,J,22,1,0,2,-0.864661111058199,CN06-171
CN07-072,2008,Male,A,43,0,1,1,1.15864360929487,CN06-171
CN07-073,2007,Male,J,29,0,0,0,-0.190226204273843,CN06-164
CN07-075,2007,Male,J,25,0,0,0,-0.575617579579189,CN06-104
CN07-077,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-110
CN07-078,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-110
CN07-079,2007,Male,J,17,0,0,0,-1.34640033018988,CN06-184
CN07-080,2007,Female,J,25,1,0,2,-0.575617579579189,CN06-059
CN07-080,2008,Female,A,39,0,0,0,0.773252233989521,CN06-059
CN07-081,2007,Male,J,25,0,0,0,-0.575617579579189,CN06-171
CN07-082,2007,Male,J,11,1,0,2,-1.9244873931479,CN06-164
CN07-082,2008,Male,A,45,0,1,1,1.35133929694754,CN06-164
CN07-083,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-056
CN07-084,2007,Male,J,31,1,0,2,0.00246948337882945,NA
CN07-084,2008,Male,A,40,0,1,1,0.869600077815857,NA
CN07-086,2007,Female,J,27,1,0,2,-0.382921891926516,CN06-157
CN07-086,2008,Female,A,34,0,1,1,0.291513014857839,CN06-157
CN07-087,2007,Female,J,36,0,0,0,0.484208702510512,CN07-046
CN07-088,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-089
CN07-089,2007,Female,J,18,0,0,0,-1.25005248636354,CN07-004
CN07-091,2007,Male,J,18,0,0,0,-1.25005248636354,CN06-092
CN07-093,2007,Male,J,29,1,0,2,-0.190226204273843,CN07-007
CN07-093,2008,Male,A,44,1,2,4,1.2549914531212,CN07-007
CN07-093,2009,Male,A,49,0,3,3,1.73673067225289,CN07-007
CN07-094,2007,Female,J,17,0,0,0,-1.34640033018988,CN07-007
CN07-095,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-089
CN07-096,2007,Male,J,38,1,0,2,0.676904390163184,CN06-110
CN07-096,2008,Male,A,47,1,3,5,1.54403498460021,CN06-110
CN07-096,2009,Male,A,56,1,8,10,2.41116557903724,CN06-110
CN07-096,2010,Male,A,62,0,0,0,2.98925264199526,CN06-110
CN07-097,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-025
CN07-098,2007,Male,J,17,0,0,0,-1.34640033018988,CN07-007
CN07-099,2007,Male,J,22,0,0,0,-0.864661111058199,CN06-136
CN07-100,2007,Male,J,27,0,0,0,-0.382921891926516,CN06-007
CN07-101,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-154
CN07-102,2007,Female,J,24,1,0,2,-0.671965423405526,CN06-154
CN07-102,2008,Female,A,34,0,0,0,0.291513014857839,CN06-154
CN07-103,2007,Male,J,16,0,0,0,-1.44274817401622,CN06-154
CN07-105,2007,Male,J,29,0,0,0,-0.190226204273843,NA
CN07-106,2007,Male,J,18,0,0,0,-1.25005248636354,CN06-116
CN07-107,2007,Male,J,27,0,0,0,-0.382921891926516,CN07-046
CN07-108,2007,Female,J,17,1,0,2,-1.34640033018988,CN06-116
CN07-108,2008,Female,A,31,0,3,3,0.00246948337882945,CN06-116
CN07-109,2007,Female,J,21,0,0,0,-0.961008954884535,CN06-119
CN07-110,2007,Female,A,44,0,3,3,1.2549914531212,CN06-025
CN07-112,2007,Male,J,26,0,0,0,-0.479269735752853,CN07-026
CN07-113,2007,Female,J,31,1,0,2,0.00246948337882945,CN06-147
CN07-113,2008,Female,A,41,1,1,3,0.965947921642194,CN06-147
CN07-113,2009,Female,A,43,1,4,6,1.15864360929487,CN06-147
CN07-113,2010,Female,A,47,0,1,1,1.54403498460021,CN06-147
CN07-114,2007,Female,J,27,1,0,2,-0.382921891926516,CN06-147
CN07-114,2008,Female,A,40,1,2,4,0.869600077815857,CN06-147
CN07-114,2009,Female,A,51,1,3,5,1.92942635990556,CN06-147
CN07-114,2010,Female,A,52,0,2,2,2.02577420373189,CN06-147
CN07-115,2007,Male,J,28,1,0,2,-0.28657404810018,CN06-104
CN07-115,2008,Male,A,44,0,0,0,1.2549914531212,CN06-104
CN07-116,2007,Female,J,19,0,0,0,-1.15370464253721,CN06-187
CN07-117,2007,Male,J,31,0,0,0,0.00246948337882945,CN06-187
CN07-119,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-222
CN07-120,2007,Female,J,28,0,0,0,-0.28657404810018,CN06-180
CN07-121,2007,Female,J,26,0,0,0,-0.479269735752853,CN07-031
CN07-122,2007,Female,J,25,0,0,0,-0.575617579579189,CN06-050
CN07-123,2007,Female,J,23,1,0,2,-0.768313267231862,CN06-182
CN07-123,2008,Female,A,36,0,2,2,0.484208702510512,CN06-182
CN07-124,2007,Female,J,29,1,0,2,-0.190226204273843,CN06-059
CN07-124,2008,Female,A,39,0,8,8,0.773252233989521,CN06-059
CN07-125,2007,Female,J,24,1,0,2,-0.671965423405526,CN06-059
CN07-125,2008,Female,A,31,1,6,8,0.00246948337882945,CN06-059
CN07-125,2009,Female,A,42,0,6,6,1.06229576546853,CN06-059
CN07-126,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-104
CN07-127,2007,Female,J,25,1,0,2,-0.575617579579189,CN06-104
CN07-127,2008,Female,A,44,0,0,0,1.2549914531212,CN06-104
CN07-128,2007,Male,A,42,0,3,3,1.06229576546853,CN06-014
CN07-130,2007,Male,J,23,0,0,0,-0.768313267231862,CN06-164
CN07-131,2007,Female,J,28,1,0,2,-0.28657404810018,CN06-050
CN07-131,2008,Female,A,31,0,4,4,0.00246948337882945,CN06-050
CN07-132,2007,Male,J,26,0,0,0,-0.479269735752853,CN06-050
CN07-133,2007,Male,J,30,0,0,0,-0.093878360447507,CN06-182
CN07-134,2007,Male,J,19,0,0,0,-1.15370464253721,CN06-182
CN07-135,2007,Male,J,28,0,0,0,-0.28657404810018,CN06-050
CN07-136,2007,Male,J,24,0,0,0,-0.671965423405526,CN06-059
CN07-137,2007,Male,J,32,1,0,2,0.0988173272051659,CN06-059
CN07-137,2008,Male,A,49,0,7,7,1.73673067225289,CN06-059
CN07-138,2007,Male,J,37,0,0,0,0.580556546336848,CN06-147
CN07-140,2007,Male,J,32,0,0,0,0.0988173272051659,CN06-089
CN07-141,2007,Female,J,16,0,0,0,-1.44274817401622,CN06-089
CN07-142,2007,Female,J,24,0,0,0,-0.671965423405526,CN06-116
