id,EscapeDistance,Tail_Length,Sex,Year,Age,Xcoor,Ycoor,Mother,Date
CN06-059,40,54,Female,2007,Adult,355,135,CN06-051,206
CN06-059,36,52,Female,2007,Adult,365,165,CN06-051,164
CN06-059,45,56,Female,2007,Adult,375,145,CN06-051,207
CN06-059,19,39,Female,2006,Young,385,115,CN06-051,201
CN06-059,38,57,Female,2007,Adult,375,135,CN06-051,165
CN06-060,17,40,Male,2006,Young,375,85,CN06-052,201
CN06-061,40,59,Male,2006,Adult,365,95,0,201
CN06-062,51,58,Female,2006,Adult,285,45,0,201
CN06-063,50,66,Male,2006,Adult,305,65,0,201
CN06-064,48,55,Male,2006,Adult,305,85,0,201
CN06-065,47,64,Male,2008,Adult,45,65,CN06-F12,161
CN06-065,42,63,Male,2008,Adult,45,55,CN06-F12,238
CN06-065,46,64,Male,2008,Adult,45,85,CN06-F12,211
CN06-065,47,68,Male,2008,Adult,45,115,CN06-F12,204
CN06-065,52,64,Male,2008,Adult,55,75,CN06-F12,191
CN06-065,38,61,Male,2007,Adult,35,55,CN06-F12,255
CN06-065,48,64,Male,2008,Adult,85,85,CN06-F12,162
CN06-065,43,61,Male,2008,Adult,35,95,CN06-F12,239
CN06-065,45,57,Male,2007,Adult,35,85,CN06-F12,256
CN06-065,40,62,Male,2007,Adult,235,55,CN06-F12,197
CN06-065,43,62,Male,2007,Adult,195,125,CN06-F12,170
CN06-065,40,56,Male,2007,Adult,175,85,CN06-F12,163
CN06-065,43,61,Male,2007,Adult,225,75,CN06-F12,162
CN06-065,28,52,Male,2006,Young,285,85,CN06-F12,234
CN06-065,14,39,Male,2006,Young,285,115,CN06-F12,201
CN06-065,49,63,Male,2008,Adult,95,45,CN06-F12,191
CN06-065,40,62,Male,2007,Adult,205,95,CN06-F12,198
CN06-066,22,43,Male,2006,Young,295,125,CN06-F13,201
CN06-067,20,48,Male,2006,Young,295,135,CN06-F13,201
CN06-067,24,56,Male,2006,Young,305,145,CN06-F13,214
CN06-068,23,48,Male,2006,Young,335,135,CN06-104,201
CN06-069,19,51,Male,2006,Young,305,155,CN06-053,214
CN06-071,45,57,Female,2006,Adult,385,165,CN05-F2,218
CN06-073,24,53,Male,2006,Young,385,155,CN06-050,219
CN06-074,26,49,Male,2006,Young,425,155,CN06-076,219
CN06-075,27,47,Male,2006,Young,425,155,CN06-076,220
CN06-076,40,63,Female,2006,Adult,435,145,0,219
CN06-077,44,61,Female,2006,Adult,435,165,0,219
CN06-078,22,44,Female,2006,Young,385,165,CN06-071,219
CN06-080,44,55,Female,2006,Adult,435,135,CN05-F4,219
CN06-081,51,54,Female,2006,Adult,445,135,0,219
CN06-082,27,49,Male,2006,Young,435,115,CN06-094,219
CN06-083,38,54,Female,2006,Adult,445,85,CN05-F5,219
CN06-084,57,56,Female,2006,Adult,445,95,0,219
CN06-085,36,60,Male,2006,Adult,425,95,0,219
CN06-086,39,55,Male,2006,Adult,415,105,0,219
CN06-086,39,52,Male,2006,Adult,385,155,0,220
CN06-087,36,62,Male,2007,Adult,25,55,CN06-040,169
CN06-087,40,60,Male,2007,Adult,25,85,CN06-040,198
CN06-087,28,49,Male,2006,Young,165,65,CN06-040,242
CN06-087,34,67,Male,2007,Adult,35,45,CN06-040,197
CN06-087,36,58,Male,2007,Adult,45,75,CN06-040,225
CN06-087,34,58,Male,2007,Adult,115,85,CN06-040,170
CN06-087,35,59,Male,2007,Adult,35,55,CN06-040,162
CN06-087,23,49,Male,2006,Young,155,65,CN06-040,219
CN06-087,38,56,Male,2007,Adult,35,85,CN06-040,163
CN06-088,46,58,Female,2006,Adult,135,75,CN05-F6,219
CN06-089,42,63,Female,2008,Adult,135,95,CN06-021,211
CN06-089,48,62,Female,2008,Adult,135,65,CN06-021,191
CN06-089,48,58,Female,2008,Adult,125,55,CN06-021,161
CN06-089,45,64,Female,2008,Adult,135,85,CN06-021,204
CN06-089,52,64,Female,2008,Adult,135,55,CN06-021,210
CN06-089,46,61,Female,2008,Adult,135,75,CN06-021,238
CN06-089,45,62,Female,2008,Adult,125,45,CN06-021,260
CN06-089,44,61,Female,2008,Adult,115,85,CN06-021,261
CN06-089,46,58,Female,2008,Adult,95,45,CN06-021,161
CN06-089,47,54,Female,2007,Adult,125,85,CN06-021,256
CN06-089,26,47,Female,2006,Young,105,75,CN06-021,219
CN06-089,48,53,Female,2007,Adult,155,55,CN06-021,255
CN06-089,46,60,Female,2007,Adult,95,45,CN06-021,169
CN06-089,48,66,Female,2007,Adult,125,65,CN06-021,197
CN06-089,41,58,Female,2007,Adult,135,65,CN06-021,225
CN06-089,45,60,Female,2007,Adult,125,95,CN06-021,226
CN06-090,24,44,Female,2006,Young,115,75,CN06-021,219
CN06-092,44,61,Female,2007,Adult,45,65,CN06-F5,169
CN06-092,44,54,Female,2007,Adult,65,85,CN06-F5,256
CN06-092,32,58,Female,2007,Adult,65,65,CN06-F5,255
CN06-092,47,65,Female,2007,Adult,65,85,CN06-F5,226
CN06-092,43,58,Female,2007,Adult,65,65,CN06-F5,225
CN06-092,42,58,Female,2007,Adult,55,85,CN06-F5,198
CN06-092,44,54,Female,2007,Adult,55,85,CN06-F5,163
CN06-092,44,64,Female,2007,Adult,55,55,CN06-F5,162
CN06-092,30,47,Female,2006,Young,55,85,CN06-F5,255
CN06-092,42,68,Female,2007,Adult,75,65,CN06-F5,197
CN06-094,42,59,Female,2007,Adult,425,105,CN05-F4,165
CN06-094,40,55,Female,2006,Adult,415,105,CN05-F4,220
CN06-095,45,50,Female,2006,Adult,445,85,CN05-F5,220
CN06-096,26,51,Female,2006,Young,445,125,CN06-080,220
CN06-098,21,46,Male,2006,Young,415,165,CN06-077,220
CN06-102,22,42,Female,2006,Young,305,155,CN06-088,221
CN06-104,48,61,Female,2007,Adult,325,155,0,194
CN06-104,44,63,Female,2007,Adult,335,135,0,275
CN06-104,39,58,Female,2007,Adult,325,145,0,252
CN06-104,42,61,Female,2007,Adult,345,105,0,251
CN06-104,47,59,Female,2007,Adult,315,105,0,250
CN06-104,49,61,Female,2007,Adult,335,135,0,206
CN06-104,48,61,Female,2007,Adult,335,115,0,193
CN06-104,44,61,Female,2007,Adult,335,135,0,165
CN06-104,59,54,Female,2007,Adult,315,175,0,164
CN06-104,49,55,Female,2006,Adult,325,165,0,221
CN06-104,46,61,Female,2007,Adult,315,155,0,207
CN06-105,21,43,Female,2006,Young,315,175,CN06-104,221
CN06-106,22,46,Male,2006,Young,325,185,CN06-104,221
CN06-106,43,62,Male,2007,Adult,385,195,CN06-104,194
CN06-106,46,57,Male,2007,Adult,385,185,CN06-104,164
CN06-107,28,50,Male,2006,Young,365,155,CN06-108,221
CN06-107,25,49,Male,2006,Young,365,145,CN06-108,222
CN06-108,48,54.5,Female,2006,Adult,365,145,0,221
CN06-109,48,58,Female,2007,Adult,395,175,CN06-F14,164
CN06-109,27,44,Female,2006,Young,365,175,CN06-F14,221
CN06-110,48,59,Female,2007,Adult,375,175,CN06-F14,164
CN06-110,26,53,Female,2006,Young,365,195,CN06-F14,221
CN06-111,22,42,Female,2006,Young,325,185,CN06-104,222
CN06-113,22,43.5,Male,2006,Young,135,95,CN06-088,227
CN06-114,39,54.5,Male,2006,Adult,145,105,0,227
CN06-115,27,46,Female,2006,Young,65,85,CN06-004,227
CN06-116,44,61,Female,2008,Adult,255,135,CN06-038,171
CN06-116,35,58,Female,2007,Adult,225,85,CN06-038,198
CN06-116,42,58,Female,2007,Adult,285,75,CN06-038,206
CN06-116,39,61,Female,2007,Adult,215,75,CN06-038,225
CN06-116,34,62,Female,2007,Adult,225,75,CN06-038,266
CN06-116,47,58,Female,2008,Adult,275,75,CN06-038,161
CN06-116,42,63,Female,2008,Adult,285,115,CN06-038,170
CN06-116,35,63,Female,2007,Adult,225,65,CN06-038,197
CN06-116,28,46.5,Female,2006,Young,205,95,CN06-038,228
CN06-116,38,60,Female,2007,Adult,225,75,CN06-038,169
CN06-116,35,56,Female,2007,Adult,225,85,CN06-038,163
CN06-116,39,55,Female,2007,Adult,255,65,CN06-038,162
CN06-116,37,56,Female,2007,Adult,225,85,CN06-038,170
CN06-117,30,50,Female,2006,Young,215,85,CN06-038,228
CN06-118,30,52,Male,2006,Young,215,95,CN06-025,228
CN06-119,38,65,Female,2007,Adult,185,115,CN06-025,226
CN06-119,37,59,Female,2007,Adult,195,125,CN06-025,198
CN06-119,41,62,Female,2007,Adult,205,115,CN06-025,170
CN06-119,26,48,Female,2006,Young,195,115,CN06-025,228
CN06-119,41,60,Female,2007,Adult,185,125,CN06-025,163
CN06-120,27,53,Male,2006,Young,185,125,CN06-025,228
CN06-121,23,42,Female,2006,Young,125,125,CN06-122,228
CN06-122,35,56,Female,2006,Adult,135,125,CN05-F6,228
CN06-123,19,40,Male,2006,Young,125,115,CN06-021,228
CN06-124,45,57,Male,2007,Adult,145,115,CN06-122,170
CN06-124,42,57,Male,2007,Adult,135,115,CN06-122,256
CN06-124,43,59,Male,2007,Adult,145,115,CN06-122,226
CN06-124,41,59,Male,2007,Adult,155,115,CN06-122,198
CN06-124,20,46,Male,2006,Young,125,105,CN06-122,228
CN06-124,42,58,Male,2007,Adult,135,85,CN06-122,163
CN06-126,35,57,Female,2006,Adult,75,115,0,228
CN06-127,21,46,Male,2006,Young,75,125,CN06-126,228
CN06-128,43,57,Male,2007,Adult,275,85,CN06-004,207
CN06-128,42,58,Male,2007,Adult,305,75,CN06-004,206
CN06-128,38,56,Male,2007,Adult,255,25,CN06-004,197
CN06-128,40,52,Male,2007,Adult,225,25,CN06-004,169
CN06-128,23,45,Male,2006,Young,65,85,CN06-004,228
CN06-128,39,54,Male,2007,Adult,225,35,CN06-004,162
CN06-129,40,63,Female,2007,Adult,45,95,CN06-007,226
CN06-129,40,58,Female,2007,Adult,75,65,CN06-007,255
CN06-129,40,54,Female,2007,Adult,95,85,CN06-007,163
CN06-129,40,60,Female,2007,Adult,75,75,CN06-007,225
CN06-129,42,57,Female,2007,Adult,55,105,CN06-007,198
CN06-129,44,61,Female,2007,Adult,65,85,CN06-007,170
CN06-129,46,57,Female,2007,Adult,75,65,CN06-007,169
CN06-129,26,45,Female,2006,Young,65,95,CN06-007,228
CN06-129,38,54,Female,2007,Adult,75,95,CN06-007,256
CN06-129,40,56,Female,2007,Adult,85,75,CN06-007,162
CN06-130,21,41.5,Male,2006,Young,45,115,CN06-011,228
CN06-132,41,62,Male,2006,Adult,55,125,0,228
CN06-133,22,42,Female,2006,Young,155,95,CN06-088,229
CN06-133,32,50,Female,2007,Adult,155,65,CN06-088,162
CN06-133,38,53,Female,2007,Adult,155,65,CN06-088,169
CN06-134,24,45,Male,2006,Young,135,95,CN06-122,229
CN06-136,37,57,Female,2007,Adult,85,105,CN06-126,170
CN06-136,44,58,Female,2007,Adult,65,105,CN06-126,256
CN06-136,24,48,Female,2006,Young,75,135,CN06-126,229
CN06-136,40,65,Female,2007,Adult,55,105,CN06-126,226
CN06-136,45,52,Female,2007,Adult,75,135,CN06-126,163
CN06-137,17,41,Male,2006,Young,55,145,CN06-023,229
CN06-138,22,45,Male,2006,Young,45,125,CN06-023,229
CN06-140,20,39,Male,2006,Young,35,145,CN06-023,229
CN06-141,19,42,Female,2006,Young,35,115,CN06-011,229
CN06-142,21,41,Female,2006,Young,255,125,CN06-033,234
CN06-143,23,45,Female,2006,Young,305,95,CN06-034,234
CN06-145,26,49,Female,2006,Young,335,135,CN06-108,234
CN06-146,24,44,Male,2006,Young,255,145,CN06-033,234
CN06-147,45,64,Female,2007,Adult,315,175,CN06-053,252
CN06-147,40,62,Female,2007,Adult,325,145,CN06-053,194
CN06-147,46,65,Female,2007,Adult,305,155,CN06-053,252
CN06-147,47,63,Female,2008,Adult,335,105,CN06-053,170
CN06-147,36,60,Female,2007,Adult,315,135,CN06-053,251
CN06-147,45,61,Female,2007,Adult,325,165,CN06-053,207
CN06-147,46,62,Female,2007,Adult,315,135,CN06-053,206
CN06-147,42,58,Female,2007,Adult,325,135,CN06-053,165
CN06-147,40,60,Female,2007,Adult,325,165,CN06-053,164
CN06-147,27,48,Female,2006,Young,325,135,CN06-053,235
CN06-147,43,57,Female,2007,Adult,315,125,CN06-053,275
CN06-147,42,61,Female,2007,Adult,325,135,CN06-053,193
CN06-148,42,57,Female,2006,Adult,265,105,0,235
CN06-148,38,60,Female,2006,Adult,245,45,0,242
CN06-150,43,58,Female,2006,Adult,195,55,0,263
CN06-150,41,61,Female,2006,Adult,195,55,0,242
CN06-151,25,45.5,Female,2006,Young,235,55,CN06-039,242
CN06-152,23,41.5,Male,2006,Young,245,65,CN06-038,242
CN06-153,24,46,Female,2006,Young,285,35,CN06-F3,242
CN06-154,47,62,Female,2007,Adult,305,75,CN06-148,193
CN06-154,48,58,Female,2007,Adult,285,65,CN06-148,266
CN06-154,44,59,Female,2007,Adult,275,55,CN06-148,250
CN06-154,51,59,Female,2007,Adult,285,45,CN06-148,206
CN06-154,50,65,Female,2007,Adult,275,65,CN06-148,197
CN06-154,48,55,Female,2007,Adult,265,35,CN06-148,169
CN06-154,49,61,Female,2007,Adult,285,45,CN06-148,165
CN06-154,47,57,Female,2007,Adult,265,45,CN06-148,162
CN06-154,24,46,Female,2006,Young,275,35,CN06-148,242
CN06-155,24,44,Male,2006,Young,245,25,CN06-036,242
CN06-157,49,57,Female,2007,Adult,215,45,CN06-150,162
CN06-157,39,60,Female,2007,Adult,185,65,CN06-150,225
CN06-157,40,55,Female,2008,Adult,205,55,CN06-150,238
CN06-157,43,64,Female,2008,Adult,205,55,CN06-150,210
CN06-157,44,57,Female,2008,Adult,215,35,CN06-150,191
CN06-157,45,61,Female,2008,Adult,195,65,CN06-150,161
CN06-157,40,57,Female,2007,Adult,185,55,CN06-150,255
CN06-157,39,59,Female,2007,Adult,205,65,CN06-150,169
CN06-157,28,47,Female,2006,Young,205,45,CN06-150,242
CN06-157,41,61,Female,2007,Adult,205,55,CN06-150,197
CN06-159,42,62,Male,2008,Adult,65,45,CN06-150,161
CN06-159,45,61,Male,2008,Adult,85,45,CN06-150,238
CN06-159,46,64,Male,2008,Adult,155,25,CN06-150,210
CN06-159,51,59,Male,2008,Adult,150,100,CN06-150,196
CN06-159,49,56,Male,2008,Adult,115,5,CN06-150,191
CN06-159,37,57,Male,2007,Adult,75,75,CN06-150,162
CN06-159,38,60,Male,2007,Adult,95,65,CN06-150,169
CN06-159,29,57,Male,2006,Young,195,65,CN06-150,243
CN06-159,41,62,Male,2007,Adult,85,45,CN06-150,225
CN06-160,27,45,Male,2006,Young,225,75,CN06-038,243
CN06-161,21,42,Female,2006,Young,275,55,CN06-148,243
CN06-162,28,48,Male,2006,Young,265,35,CN06-148,243
CN06-164,44,60,Female,2007,Adult,285,125,CN06-104,206
CN06-164,42,61,Female,2007,Adult,305,145,CN06-104,207
CN06-164,19,39.5,Female,2006,Young,335,155,CN06-104,247
CN06-165,18,42,Male,2006,Young,385,155,CN06-071,247
CN06-166,19,40,Female,2006,Young,435,155,CN06-076,247
CN06-167,28,54,Female,2006,Young,425,185,CN06-071,247
CN06-168,19,37,Female,2006,Young,425,175,CN06-077,247
CN06-169,22,41.5,Male,2006,Young,395,185,CN06-071,247
CN06-169,27,53,Male,2006,Young,385,165,CN06-071,271
CN06-169,41,60,Male,2007,Adult,435,145,CN06-071,164
CN06-169,45,61,Male,2007,Adult,435,135,CN06-071,193
CN06-169,42,65,Male,2007,Adult,425,105,CN06-071,206
CN06-170,29,48.5,Female,2006,Young,375,195,CN06-077,247
CN06-171,20,41,Female,2006,Young,315,185,CN06-104,247
CN06-172,24,53,Male,2006,Young,325,155,CN06-050,248
CN06-173,22,37,Female,2006,Young,325,165,CN06-104,248
CN06-174,22,39,Male,2006,Young,425,155,CN06-076,248
CN06-175,35,51,Female,2006,Young,435,145,CN06-094,248
CN06-176,30,50,Male,2006,Young,425,195,CN06-077,248
CN06-177,17,41,Male,2006,Young,345,105,CN06-108,249
CN06-178,26,45,Female,2006,Young,385,105,CN06-051,249
CN06-179,48,63,Male,2007,Adult,205,115,CN06-051,198
CN06-179,52,66,Male,2007,Adult,175,55,CN06-051,255
CN06-179,49,67,Male,2007,Adult,225,55,CN06-051,250
CN06-179,52,63,Male,2007,Adult,185,125,CN06-051,226
CN06-179,54,66,Male,2007,Adult,165,85,CN06-051,256
CN06-179,49,66,Male,2007,Adult,165,75,CN06-051,225
CN06-179,46,69,Male,2007,Adult,205,65,CN06-051,197
CN06-179,47,62,Male,2007,Adult,205,125,CN06-051,170
CN06-179,46,63,Male,2007,Adult,205,85,CN06-051,163
CN06-179,24,49,Male,2006,Young,395,105,CN06-051,249
CN06-179,52,66,Male,2007,Adult,205,85,CN06-051,266
CN06-179,48,68,Male,2007,Adult,185,75,CN06-051,169
CN06-180,36,54,Female,2007,Adult,415,95,CN06-094,251
CN06-180,39,54,Female,2007,Adult,415,85,CN06-094,275
CN06-180,24,48,Female,2006,Young,415,105,CN06-094,249
CN06-180,39,54,Female,2007,Adult,405,95,CN06-094,206
CN06-181,25,46,Male,2006,Young,445,75,CN06-083,249
CN06-182,36,56,Female,2007,Adult,425,155,CN06-081,252
CN06-182,34,49,Female,2007,Adult,445,125,CN06-081,275
CN06-182,30,56,Female,2007,Adult,435,135,CN06-081,251
CN06-182,35,57,Female,2007,Adult,435,145,CN06-081,207
CN06-182,34,61,Female,2007,Adult,425,155,CN06-081,194
CN06-182,30,51,Female,2007,Adult,435,155,CN06-081,164
CN06-182,25,51,Female,2006,Young,435,115,CN06-081,249
CN06-182,34,57,Female,2007,Adult,445,135,CN06-081,206
CN06-183,26,49,Female,2006,Young,445,135,CN06-081,249
CN06-184,38,62,Female,2007,Adult,405,185,CN06-050,164
CN06-184,28,54,Female,2006,Young,405,125,CN06-050,249
CN06-185,38,51.5,Female,2006,Adult,405,115,0,249
CN06-186,26,49,Female,2006,Young,415,115,CN06-094,249
CN06-187,22,42,Female,2006,Young,395,125,CN06-051,249
CN06-187,41,53,Female,2007,Adult,345,105,CN06-051,193
CN06-187,37,54,Female,2007,Adult,375,85,CN06-051,206
CN06-187,35,53,Female,2007,Adult,385,105,CN06-051,251
CN06-187,34,53,Female,2007,Adult,375,85,CN06-051,275
CN06-187,37,57,Female,2008,Adult,375,85,CN06-051,170
CN06-187,45,56,Female,2008,Adult,385,115,CN06-051,205
CN06-188,44,59,Female,2007,Adult,375,135,CN06-185,193
CN06-188,41,61,Female,2007,Adult,395,125,CN06-185,206
CN06-188,43,57,Female,2007,Adult,375,105,CN06-185,165
CN06-188,27,49,Female,2006,Young,385,115,CN06-185,249
CN06-189,26,50,Male,2006,Young,455,85,CN06-084,250
CN06-190,28,50,Female,2006,Young,435,95,CN06-081,250
CN06-191,17,33,Male,2006,Young,445,125,CN06-081,250
CN06-192,24,44,Female,2006,Young,395,125,CN06-185,250
CN06-194,37,53,Male,2006,Adult,95,85,CN06-007,254
CN06-195,22,43,Male,2006,Young,85,95,CN06-126,254
CN06-196,25,40,Male,2006,Young,75,125,CN06-012,254
CN06-197,21,40.5,Female,2006,Young,35,135,CN06-024,254
CN06-198,42,56,Female,2007,Adult,55,145,CN06-011,256
CN06-198,27,45,Female,2006,Young,55,115,CN06-011,254
CN06-198,40,51,Female,2007,Adult,45,105,CN06-011,163
CN06-198,37,53,Female,2007,Adult,45,125,CN06-011,170
CN06-198,42,54,Female,2007,Adult,65,115,CN06-011,198
CN06-198,39,57,Female,2007,Adult,45,125,CN06-011,226
CN06-200,25,47,Female,2006,Young,145,85,CN06-088,255
CN06-200,33,56,Female,2007,Adult,145,65,CN06-088,162
CN06-201,44,56,Male,2007,Adult,75,75,CN06-088,169
CN06-201,44,57,Male,2007,Adult,75,85,CN06-088,198
CN06-201,38,63,Male,2007,Adult,75,75,CN06-088,197
CN06-201,40,58,Male,2007,Adult,105,85,CN06-088,170
CN06-201,46,55,Male,2007,Adult,75,85,CN06-088,163
CN06-201,40,57,Male,2007,Adult,95,75,CN06-088,162
CN06-201,23,45,Male,2006,Young,135,95,CN06-088,255
CN06-201,26,44,Male,2006,Young,145,75,CN06-088,263
CN06-203,29,51.5,Male,2006,Young,175,55,CN06-150,263
CN06-205,43,55,Female,2006,Adult,45,55,0,263
CN06-206,29,51,Male,2006,Young,35,55,CN06-014,263
CN06-207,30,52,Male,2006,Young,195,75,CN06-150,264
CN06-208,23,47,Male,2006,Young,325,105,CN06-108,268
CN06-208,23,47,Male,2006,Young,365,155,CN06-108,270
CN06-208,27,43,Male,2006,Young,345,125,CN06-108,274
CN06-209,25,50,Male,2006,Young,285,75,CN06-034,269
CN06-210,24,46,Male,2006,Young,235,15,CN06-044,269
CN06-211,26,49,Male,2006,Young,405,145,CN06-050,270
CN06-213,18,38.5,Male,2006,Young,345,165,CN06-108,271
CN06-213,17,38.5,Male,2006,Young,345,135,CN06-108,274
CN06-213,15,39.5,Male,2006,Young,335,145,CN06-108,270
CN06-214,41,58,Female,2007,Adult,295,85,CN06-053,165
CN06-214,28,49,Female,2006,Young,305,145,CN06-053,270
CN06-214,32,61,Female,2007,Adult,275,75,CN06-053,162
CN06-214,34,57,Female,2007,Adult,275,115,CN06-053,164
CN06-214,37,58,Female,2007,Adult,305,115,CN06-053,165
CN06-215,46,57,Male,2007,Adult,445,115,CN06-050,206
CN06-215,43,55,Male,2007,Adult,405,85,CN06-050,275
CN06-215,43,58,Male,2007,Adult,425,105,CN06-050,251
CN06-215,52,57,Male,2007,Adult,445,115,CN06-050,165
CN06-215,24,44,Male,2006,Young,405,145,CN06-050,271
CN06-215,48,58,Male,2007,Adult,445,75,CN06-050,193
